brand_model	model_y	stars	test_date
BMW Mini	2001 - 2006	4	07/2002
2001 - 2006	2001 - 2006		
4		4	
07/2002			07/2002
BMW Mini Cooper	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
BMW X1	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
BMW X1	2009 - 2015	5	11/2009
2009 - 2015	2009 - 2015		
5		5	
11/2009			11/2009
BMW X3	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
BMW X5	2000 - 2006	5	02/2003
2000 - 2006	2000 - 2006		
5		5	
02/2003			02/2003
BMW Z4	ab 2009	3	12/2015
ab 2009	ab 2009		
3		3	
12/2015			12/2015
BMW Z4 Roadster	2003 - 2008	4	07/2004
2003 - 2008	2003 - 2008		
4		4	
07/2004			07/2004
Brilliance BS4	2009 - 2010	1	06/2009
2009 - 2010	2009 - 2010		
1		1	
06/2009			06/2009
Brilliance BS6	2007 - 2010	1	06/2007
2007 - 2010	2007 - 2010		
1		1	
06/2007			06/2007
Chevrolet (EU) Matiz	2005 - 2010	2	11/2005
2005 - 2010	2005 - 2010		
2		2	
11/2005			11/2005
Chevrolet Aveo	2006 - 2011	1	02/2006
2006 - 2011	2006 - 2011		
1		1	
02/2006			02/2006
Chevrolet Aveo	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Chevrolet Captiva	ab 2007	4	01/2007
ab 2007	ab 2007		
4		4	
01/2007			01/2007
Chevrolet Cruze	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Chevrolet Malibu	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
Chevrolet Orlando	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Chevrolet Spark	ab 2009	4	11/2009
ab 2009	ab 2009		
4		4	
11/2009			11/2009
Chevrolet Trax	ab 2013	5	05/2013
ab 2013	ab 2013		
5		5	
05/2013			05/2013
Chrysler Grand Voyager	2001 - 2008	4	01/2007
2001 - 2008	2001 - 2008		
4		4	
01/2007			01/2007
Chrysler PT Cruiser	2000 - 2009	3	12/2002
2000 - 2009	2000 - 2009		
3		3	
12/2002			12/2002
Chrysler Voyager	1997 - 2000	2	07/1999
1997 - 2000	1997 - 2000		
2		2	
07/1999			07/1999
Citroen Berlingo	1996 - 2003	3	09/2001
1996 - 2003	1996 - 2003		
3		3	
09/2001			09/2001
Citroen Berlingo	ab 2008	4	05/2008
ab 2008	ab 2008		
4		4	
05/2008			05/2008
Citroen Berlingo	(Peugeot Partner ab 2014	3	09/2014
(Peugeot Partner ab 2014	(Peugeot Partner ab 2014		
3		3	
09/2014			09/2014
Citroen Berlingo (bis MJ 08)	2005 - 2008	4	11/2005
2005 - 2008	2005 - 2008		
4		4	
11/2005			11/2005
Citroen C1	ab 2005	4	06/2005
ab 2005	ab 2005		
4		4	
06/2005			06/2005
Citroen C2	2003 - 2009	4	12/2003
2003 - 2009	2003 - 2009		
4		4	
12/2003			12/2003
Citroen C3	2002 - 2010	4	12/2002
2002 - 2010	2002 - 2010		
4		4	
12/2002			12/2002
Citroen C3	ab 2017	4	03/2017
ab 2017	ab 2017		
4		4	
03/2017			03/2017
Citroen C3 Picasso	ab 2009	4	02/2009
ab 2009	ab 2009		
4		4	
02/2009			02/2009
Citroen C3 Pluriel	2003 - 2010	4	07/2003
2003 - 2010	2003 - 2010		
4		4	
07/2003			07/2003
Citroen C4	ab 2010	5	08/2010
ab 2010	ab 2010		
5		5	
08/2010			08/2010
Citroen C4	2004 - 2010	5	11/2004
2004 - 2010	2004 - 2010		
5		5	
11/2004			11/2004
Citroen C4 Cactus	ab 2014	4	10/2014
ab 2014	ab 2014		
4		4	
10/2014			10/2014
Citroen C4 Picasso	ab 2013	5	06/2013
ab 2013	ab 2013		
5		5	
06/2013			06/2013
Citroen C4 Picasso	2006 - 2013	5	09/2006
2006 - 2013	2006 - 2013		
5		5	
09/2006			09/2006
Citroen C5	2001 - 2004	4	01/2002
2001 - 2004	2001 - 2004		
4		4	
01/2002			01/2002
Citroen C5	2004 - 2008	5	11/2004
2004 - 2008	2004 - 2008		
5		5	
11/2004			11/2004
Citroen C5	ab 2008	5	02/2008
ab 2008	ab 2008		
5		5	
02/2008			02/2008
Citroen C6	2005 - 2012	5	11/2005
2005 - 2012	2005 - 2012		
5		5	
11/2005			11/2005
Citroen C-Zero	ab 2010	4	02/2011
ab 2010	ab 2010		
4		4	
02/2011			02/2011
Citroen DS3	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Citroen DS4	ab 2011	5	05/2011
ab 2011	ab 2011		
5		5	
05/2011			05/2011
Citroen DS5	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Citroen Nemo	ab 2010	3	03/2010
ab 2010	ab 2010		
3		3	
03/2010			03/2010
Citroen Saxo (ohne Beifahrer- u. Seitenairbag)	2000 - 2004	2	10/2000
2000 - 2004	2000 - 2004		
2		2	
10/2000			10/2000
Citroen Xsara Picasso	2000 - 2010	4	04/2001
2000 - 2010	2000 - 2010		
4		4	
04/2001			04/2001
Dacia Duster	ab 2011	3	02/2011
ab 2011	ab 2011		
3		3	
02/2011			02/2011
Dacia Lodgy	ab 2012	3	11/2012
ab 2012	ab 2012		
3		3	
11/2012			11/2012
Dacia Logan	2005 - 2013	3	06/2005
2005 - 2013	2005 - 2013		
3		3	
06/2005			06/2005
Dacia Logan MCV	ab 2014	3	12/2014
ab 2014	ab 2014		
3		3	
12/2014			12/2014
Dacia Sandero	ab 2013	4	05/2013
ab 2013	ab 2013		
4		4	
05/2013			05/2013
Dacia Sandero	2008 - 2013	3	11/2008
2008 - 2013	2008 - 2013		
3		3	
11/2008			11/2008
Daewoo Lanos	1997 - 2000	2	08/1998
1997 - 2000	1997 - 2000		
2		2	
08/1998			08/1998
Daihatsu Cuore	2007 - 2013	4	08/2008
2007 - 2013	2007 - 2013		
4		4	
08/2008			08/2008
Daihatsu Materia	2007 - 2010	4	12/2007
2007 - 2010	2007 - 2010		
4		4	
12/2007			12/2007
Daihatsu Sirion	2000 - 2005	3	10/2000
2000 - 2005	2000 - 2005		
3		3	
10/2000			10/2000
Daihatsu Sirion	2005 - 2013	4	10/2005
2005 - 2013	2005 - 2013		
4		4	
10/2005			10/2005
Daihatsu Terios	2006 - 2013	4	02/2008
2006 - 2013	2006 - 2013		
4		4	
02/2008			02/2008
Dodge Caliber	2007 - 2010	4	06/2007
2007 - 2010	2007 - 2010		
4		4	
06/2007			06/2007
Fiat 500	ab 2007	5	07/2007
ab 2007	ab 2007		
5		5	
07/2007			07/2007
Fiat 500	ab 2017	3	03/2017
ab 2017	ab 2017		
3		3	
03/2017			03/2017
Fiat 500 L	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Fiat 500X	ab 2015	4	04/2015
ab 2015	ab 2015		
4		4	
04/2015			04/2015
Fiat Bravo	ab 2007	5	02/2007
ab 2007	ab 2007		
5		5	
02/2007			02/2007
Fiat Croma	2005 - 2011	5	10/2005
2005 - 2011	2005 - 2011		
5		5	
10/2005			10/2005
Fiat Doblo	ab 2017	3	04/2017
ab 2017	ab 2017		
3		3	
04/2017			04/2017
Fiat Doblò	2001 - 2004	3	09/2001
2001 - 2004	2001 - 2004		
3		3	
09/2001			09/2001
Fiat Freemont	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Fiat Grande Punto	ab 2005	5	09/2005
ab 2005	ab 2005		
5		5	
09/2005			09/2005
Fiat Idea	2006 - 2008	4	04/2006
2006 - 2008	2006 - 2008		
4		4	
04/2006			04/2006
Fiat Panda	2003 - 2013	3	11/2004
2003 - 2013	2003 - 2013		
3		3	
11/2004			11/2004
Fiat Panda	ab 2011	4	11/2011
ab 2011	ab 2011		
4		4	
11/2011			11/2011
Fiat Panda Cross	ab 2015	3	06/2015
ab 2015	ab 2015		
3		3	
06/2015			06/2015
Fiat Punto	1999 - 2008	4	03/2000
1999 - 2008	1999 - 2008		
4		4	
03/2000			03/2000
Fiat Scudo	Kleinbus ab 2007	3	12/2012
Kleinbus ab 2007	Kleinbus ab 2007		
3		3	
12/2012			12/2012
Fiat Stilo	2001 - 2007	4	04/2002
2001 - 2007	2001 - 2007		
4		4	
04/2002			04/2002
Fiat Tipo	ab 2016	3	10/2016
ab 2016	ab 2016		
3		3	
10/2016			10/2016
Ford B-MAX	ab 2012	5	08/2012
ab 2012	ab 2012		
5		5	
08/2012			08/2012
Ford C-MAX	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
Ford EcoSport	ab 2013	4	11/2013
ab 2013	ab 2013		
4		4	
11/2013			11/2013
Ford Edge	ab 2016	5	11/2016
ab 2016	ab 2016		
5		5	
11/2016			11/2016
Ford Escort	1995 - 2002	2	02/1999
1995 - 2002	1995 - 2002		
2		2	
02/1999			02/1999
Ford Fiesta	2002 - 2008	4	11/2002
2002 - 2008	2002 - 2008		
4		4	
11/2002			11/2002
Ford Fiesta	2008 - 2012	5	11/2008
2008 - 2012	2008 - 2012		
5		5	
11/2008			11/2008
Ford Fiesta	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Ford Focus	ab 2011	5	05/2011
ab 2011	ab 2011		
5		5	
05/2011			05/2011
Ford Focus	1998 - 2004	4	02/1999
1998 - 2004	1998 - 2004		
4		4	
02/1999			02/1999
Ford Focus	2004 - 2011	5	12/2004
2004 - 2011	2004 - 2011		
5		5	
12/2004			12/2004
Ford Focus C-Max	2003 - 2007	4	12/2003
2003 - 2007	2003 - 2007		
4		4	
12/2003			12/2003
Ford Galaxy	ab 2006	5	09/2006
ab 2006	ab 2006		
5		5	
09/2006			09/2006
Ford Galaxy	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
Ford Grand C-MAX	ab 2010	5	11/1010
ab 2010	ab 2010		
5		5	
11/1010			11/1010
Ford Ka	2008 - 2017	4	11/2008
2008 - 2017	2008 - 2017		
4		4	
11/2008			11/2008
Ford Ka	1996 - 2008	3	10/2000
1996 - 2008	1996 - 2008		
3		3	
10/2000			10/2000
Ford Ka+	ab 2017	3	03/2017
ab 2017	ab 2017		
3		3	
03/2017			03/2017
Ford Kuga	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Ford Kuga	2008 - 2012	5	05/2008
2008 - 2012	2008 - 2012		
5		5	
05/2008			05/2008
Ford Mondeo	2007 - 2014	5	09/2007
2007 - 2014	2007 - 2014		
5		5	
09/2007			09/2007
Ford Mondeo	2000 - 2007	4	01/2002
2000 - 2007	2000 - 2007		
4		4	
01/2002			01/2002
Ford Mondeo	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Ford Mustang Fastback	ab 2015	2	01/2017
ab 2015	ab 2015		
2		2	
01/2017			01/2017
Ford S-MAX	ab 2015	5	09/2015
ab 2015	ab 2015		
5		5	
09/2015			09/2015
Ford S-MAX	2006 - 2015	5	08/2006
2006 - 2015	2006 - 2015		
5		5	
08/2006			08/2006
Ford Tourneo Connect	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Ford Tourneo Courier	ab 2014	4	06/2014
ab 2014	ab 2014		
4		4	
06/2014			06/2014
Ford Transit Custom	Kleinbus ab 2012	5	12/2012
Kleinbus ab 2012	Kleinbus ab 2012		
5		5	
12/2012			12/2012
Honda Civic	ab 2012	5	02/2012
ab 2012	ab 2012		
5		5	
02/2012			02/2012
Honda Civic	2001 - 2005	4	08/2001
2001 - 2005	2001 - 2005		
4		4	
08/2001			08/2001
Honda CR-V	ab 2013	5	06/2013
ab 2013	ab 2013		
5		5	
06/2013			06/2013
Honda CR-Z	ab 2010	5	08/2010
ab 2010	ab 2010		
5		5	
08/2010			08/2010
Honda HR-V	ab 2015	5	11/2015
ab 2015	ab 2015		
5		5	
11/2015			11/2015
Honda Jazz	ab 2015	5	11/2015
ab 2015	ab 2015		
5		5	
11/2015			11/2015
Honda Jazz	2009 - 2015	5	05/2009
2009 - 2015	2009 - 2015		
5		5	
05/2009			05/2009
Honda Legend	2007 - 2010	5	02/2007
2007 - 2010	2007 - 2010		
5		5	
02/2007			02/2007
Honda Logo	1999 - 2002	3	03/2000
1999 - 2002	1999 - 2002		
3		3	
03/2000			03/2000
Honda S2000	1998 - 2009	4	07/2002
1998 - 2009	1998 - 2009		
4		4	
07/2002			07/2002
Hyundai Accent	1997 - 2000	1	08/1998
1997 - 2000	1997 - 2000		
1		1	
08/1998			08/1998
Hyundai Atos	1998 - 2003	3	03/2000
1998 - 2003	1998 - 2003		
3		3	
03/2000			03/2000
Hyundai Elantra	2000 - 2006	3	01/2002
2000 - 2006	2000 - 2006		
3		3	
01/2002			01/2002
Hyundai Getz	2002 - 2009	4	11/2004
2002 - 2009	2002 - 2009		
4		4	
11/2004			11/2004
Hyundai H-1	Kleinbus ab 2008	3	12/2012
Kleinbus ab 2008	Kleinbus ab 2008		
3		3	
12/2012			12/2012
Hyundai i10	ab 2014	4	05/2014
ab 2014	ab 2014		
4		4	
05/2014			05/2014
Hyundai i10	2008 - 2014	4	05/2008
2008 - 2014	2008 - 2014		
4		4	
05/2008			05/2008
Hyundai i20	2009 - 2015	5	05/2009
2009 - 2015	2009 - 2015		
5		5	
05/2009			05/2009
Hyundai i20	ab 2015	4	06/2015
ab 2015	ab 2015		
4		4	
06/2015			06/2015
Hyundai i30	ab 2012	5	05/2012
ab 2012	ab 2012		
5		5	
05/2012			05/2012
Hyundai i30	2008 - 2012	5	08/2008
2008 - 2012	2008 - 2012		
5		5	
08/2008			08/2008
Hyundai i30	2007 - 2008	4	09/2007
2007 - 2008	2007 - 2008		
4		4	
09/2007			09/2007
Hyundai i40	ab 2011	5	08/2011
ab 2011	ab 2011		
5		5	
08/2011			08/2011
Hyundai Ioniq	ab 2016	5	11/2016
ab 2016	ab 2016		
5		5	
11/2016			11/2016
Hyundai ix20	ab 2011	5	11/2010
ab 2011	ab 2011		
5		5	
11/2010			11/2010
Hyundai ix35	2010 - 2013	5	08/2010
2010 - 2013	2010 - 2013		
5		5	
08/2010			08/2010
Hyundai Santa Fe	2006 - 2012	4	12/2006
2006 - 2012	2006 - 2012		
4		4	
12/2006			12/2006
Hyundai Santa Fe	2001 - 2006	4	12/2002
2001 - 2006	2001 - 2006		
4		4	
12/2002			12/2002
Hyundai Santa Fe	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Hyundai Trajet	2000 - 2007	3	07/2003
2000 - 2007	2000 - 2007		
3		3	
07/2003			07/2003
Hyundai Tucson	ab 2015	5	10/2015
ab 2015	ab 2015		
5		5	
10/2015			10/2015
Hyundai Tucson 4WD	2004 - 2010	4	02/2006
2004 - 2010	2004 - 2010		
4		4	
02/2006			02/2006
Hyundai Veloster	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Infiniti FX	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Infiniti Q30	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Infiniti Q50	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Isuzu D-MAX	2008 - 2012	1	02/2008
2008 - 2012	2008 - 2012		
1		1	
02/2008			02/2008
Jaguar XE	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Jaguar XF	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Jaguar X-Type	2001 - 2009	4	07/2002
2001 - 2009	2001 - 2009		
4		4	
07/2002			07/2002
Jeep Cherokee	2002 - 2008	4	12/2002
2002 - 2008	2002 - 2008		
4		4	
12/2002			12/2002
Jeep Cherokee	ab 2013	5	10/2013
ab 2013	ab 2013		
5		5	
10/2013			10/2013
Jeep Compass	ab 2012	2	02/2012
ab 2012	ab 2012		
2		2	
02/2012			02/2012
Jeep Grand Cherokee	ab 2011	4	11/2011
ab 2011	ab 2011		
4		4	
11/2011			11/2011
Jeep Grand Cherokee	2005 - 2010	4	11/2005
2005 - 2010	2005 - 2010		
4		4	
11/2005			11/2005
Jeep Renegade	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Kia Carens	ab 2013	5	08/2013
ab 2013	ab 2013		
5		5	
08/2013			08/2013
Kia Carens	2006 - 2013	4	05/2007
2006 - 2013	2006 - 2013		
4		4	
05/2007			05/2007
Kia Carnival	2006 - 2009	4	10/2006
2006 - 2009	2006 - 2009		
4		4	
10/2006			10/2006
KIA Carnival	1999 - 2006	2	07/2003
1999 - 2006	1999 - 2006		
2		2	
07/2003			07/2003
Kia Cee`d	2007 - 2013	5	08/2007
2007 - 2013	2007 - 2013		
5		5	
08/2007			08/2007
Kia Cee`d	ab 2012	5	08/2012
ab 2012	ab 2012		
5		5	
08/2012			08/2012
Kia Cerato	2004 - 2006	3	02/2006
2004 - 2006	2004 - 2006		
3		3	
02/2006			02/2006
Kia Magentis	2006 - 2010	4	12/2006
2006 - 2010	2006 - 2010		
4		4	
12/2006			12/2006
Kia Niro	ab 2016	4	08/2016
ab 2016	ab 2016		
4		4	
08/2016			08/2016
Kia Optima	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Kia Picanto	ab 2011	4	08/2011
ab 2011	ab 2011		
4		4	
08/2011			08/2011
KIA Picanto	2004 - 2011	3	11/2004
2004 - 2011	2004 - 2011		
3		3	
11/2004			11/2004
KIA Rio	2005 - 2011	4	11/2005
2005 - 2011	2005 - 2011		
4		4	
11/2005			11/2005
Kia Rio	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
Kia Sorento	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
KIA Sorento	2002 - 2009	4	07/2003
2002 - 2009	2002 - 2009		
4		4	
07/2003			07/2003
Kia Sorento	2009 - 2009	5	08/2009
2009 - 2009	2009 - 2009		
5		5	
08/2009			08/2009
KIA Soul	ab 2009	5	05/2009
ab 2009	ab 2009		
5		5	
05/2009			05/2009
Kia Soul	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
Kia Soul EV	ab 2014	4	12/2014
ab 2014	ab 2014		
4		4	
12/2014			12/2014
Kia Sportage	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
KIA Sportage	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
Kia Venga (ab 11/2010)	ab 2010	5	11/2010
ab 2010	ab 2010		
5		5	
11/2010			11/2010
Lancia Delta	ab 2008	5	08/2008
ab 2008	ab 2008		
5		5	
08/2008			08/2008
Lancia Thema	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Lancia Voyager	ab 2011	4	10/2011
ab 2011	ab 2011		
4		4	
10/2011			10/2011
Lancia Ypsilon	ab 2015	2	12/2015
ab 2015	ab 2015		
2		2	
12/2015			12/2015
Lancia Ypsilon	1995 - 2003	2	03/2000
1995 - 2003	1995 - 2003		
2		2	
03/2000			03/2000
Land Rover Discovery	ab 2017	5	03/2017
ab 2017	ab 2017		
5		5	
03/2017			03/2017
Land Rover Discovery III	2006 - 2009	4	07/2006
2006 - 2009	2006 - 2009		
4		4	
07/2006			07/2006
Land Rover Discovery Sport	ab 2015	5	12/2014
ab 2015	ab 2015		
5		5	
12/2014			12/2014
Land Rover Freelander II	ab 2007	5	03/2007
ab 2007	ab 2007		
5		5	
03/2007			03/2007
Landwind CV9	2010 - 1900	2	11/2010
2010 - 1900	2010 - 1900		
2		2	
11/2010			11/2010
Lexus IS	ab 2013	5	08/2013
ab 2013	ab 2013		
5		5	
08/2013			08/2013
Lexus NX	ab 2014	5	12/2014
ab 2014	ab 2014		
5		5	
12/2014			12/2014
Lexus RX	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Maserati Ghibli	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Mazda 2	ab 2015	4	04/2015
ab 2015	ab 2015		
4		4	
04/2015			04/2015
Mazda 2	ab 2007	5	12/2007
ab 2007	ab 2007		
5		5	
12/2007			12/2007
Mazda 3	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Mazda 3	2006 - 2009	4	09/2006
2006 - 2009	2006 - 2009		
4		4	
09/2006			09/2006
Mazda 3	ab 2013	5	11/2013
ab 2013	ab 2013		
5		5	
11/2013			11/2013
Mazda 5	2005 - 2010	5	09/2005
2005 - 2010	2005 - 2010		
5		5	
09/2005			09/2005
Mazda 6	2002 - 2005	4	12/2003
2002 - 2005	2002 - 2005		
4		4	
12/2003			12/2003
Mazda 6	2005 - 2008	4	11/2005
2005 - 2008	2005 - 2008		
4		4	
11/2005			11/2005
Mazda 6	ab 2013	5	08/2013
ab 2013	ab 2013		
5		5	
08/2013			08/2013
Mazda CX-3	ab 2015	4	08/2015
ab 2015	ab 2015		
4		4	
08/2015			08/2015
Mazda CX-5	ab 2012	5	05/2012
ab 2012	ab 2012		
5		5	
05/2012			05/2012
Mazda MX-5	ab 2015	4	10/2015
ab 2015	ab 2015		
4		4	
10/2015			10/2015
Mazda MX-5	1998 - 2005	4	07/2002
1998 - 2005	1998 - 2005		
4		4	
07/2002			07/2002
Mazda Premacy	1999 - 2005	3	04/2001
1999 - 2005	1999 - 2005		
3		3	
04/2001			04/2001
Mercedes A-Klasse	1997 - 2004	4	02/1999
1997 - 2004	1997 - 2004		
4		4	
02/1999			02/1999
Mercedes A-Klasse	2004 - 2012	5	06/2005
2004 - 2012	2004 - 2012		
5		5	
06/2005			06/2005
Mercedes A-Klasse	ab 2012	5	11/2012
ab 2012	ab 2012		
5		5	
11/2012			11/2012
Mercedes Benz Citan Kombi	ab Ende 2013 ab 2013	4	11/2013
ab Ende 2013 ab 2013	ab Ende 2013 ab 2013		
4		4	
11/2013			11/2013
Mercedes B-Klasse	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
Mercedes B-Klasse	2005 - 2011	5	09/2006
2005 - 2011	2005 - 2011		
5		5	
09/2006			09/2006
Mercedes C-Klasse	2000 - 2007	5	07/2002
2000 - 2007	2000 - 2007		
5		5	
07/2002			07/2002
Mercedes C-Klasse	ab 2007	5	12/2007
ab 2007	ab 2007		
5		5	
12/2007			12/2007
Mercedes C-Klasse	ab 2011	5	11/2011
ab 2011	ab 2011		
5		5	
11/2011			11/2011
Mercedes C-Klasse	ab 2014	5	05/2014
ab 2014	ab 2014		
5		5	
05/2014			05/2014
Mercedes CLA-Klasse	ab 2013	5	10/2013
ab 2013	ab 2013		
5		5	
10/2013			10/2013
Mercedes E-Klasse	ab 2016	5	09/2016
ab 2016	ab 2016		
5		5	
09/2016			09/2016
Mercedes E-Klasse	1996 - 2001	4	04/2000
1996 - 2001	1996 - 2001		
4		4	
04/2000			04/2000
Mercedes E-Klasse	2001 - 2009	5	12/2002
2001 - 2009	2001 - 2009		
5		5	
12/2002			12/2002
Mercedes E-Klasse	2009 - 2016	5	11/2009
2009 - 2016	2009 - 2016		
5		5	
11/2009			11/2009
Mercedes GLA-Klasse	ab 2014	5	09/2014
ab 2014	ab 2014		
5		5	
09/2014			09/2014
Mercedes GLC	ab 2015	5	12/2015
ab 2015	ab 2015		
5		5	
12/2015			12/2015
Mercedes GLK	ab 2009	5	11/2009
ab 2009	ab 2009		
5		5	
11/2009			11/2009
Mercedes M-Klasse	1998 - 2005	4	12/2002
1998 - 2005	1998 - 2005		
4		4	
12/2002			12/2002
Mercedes ML-Klasse	2005 - 2011	5	08/2008
2005 - 2011	2005 - 2011		
5		5	
08/2008			08/2008
Mercedes ML-Klasse	ab 2011	5	10/2011
ab 2011	ab 2011		
5		5	
10/2011			10/2011
Mercedes SLK-Klasse	1996 - 2003	4	07/2002
1996 - 2003	1996 - 2003		
4		4	
07/2002			07/2002
Mercedes Vaneo	2001 - 2006	4	12/2002
2001 - 2006	2001 - 2006		
4		4	
12/2002			12/2002
Mercedes Viano	ab 2003	4	11/2008
ab 2003	ab 2003		
4		4	
11/2008			11/2008
Mercedes V-Klasse	ab 2014	5	10/2014
